"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"attachables/decor_ampulomet";"Ampulomet";"Ampulomet";"Ampulomet";"Ampulomet";"Ampulomet";"Ампуломёт";"Ampułomiot";"Ampulomet";"Ampulomet";"安\t瓿\t发\t射\t器";"アンプロメット";"Ampulomet";"Ампуломет";"Ampulomet";"Ampulomet";"암퓰로멧";"Ампуломёт";"Ampulomet";"安\t瓿\t發\t射\t器";"Ampulomet";"Ampulomet";;
"attachables/trb_seal";"Bajur";"Bajur";"Bajour";"Bajur";"Bajur";"Бажур";"Bajur";"Bajur";"Bajur";"巴\t焦\t尔";"バジュル";"Bajur";"Bajur";"Bajur";"Bajur";"바주르";"Бажур";"Bajur";"巴\t焦\t爾";"Bajur";"Bajur";;
"attachables/decor_heraldic_shield";"Heraldic shield";"Bouclier héraldique";"Scudo araldico";"Wappenschild";"Escudo Heráldico";"Геральдический щит";"Tarcza heraldyczna";"Heraldický štít";"Hanedan kalkanı";"图\t纹\t铁\t盾";"紋章の\t盾";"Escudo heráldico";"Геральдичний щит";"Heraldic shield";"Heraldikai pajzs";"문장이 새겨진 방패";"Геральдический щит";"Heraldic shield";"紋\t章\t盾\t牌";"Heraldic shield";"Khiên Heraldic";;
"attachables/decor_pelta_shield";"Pelta shield";"Pelte";"Scudo pelta";"Pelte";"Escudo Pelta";"Щит пельта";"Tarcza Amazonek";"Štít Pelta";"Pelta kalkanı";"新\t月\t轻\t盾";"ペルタの\t盾";"Escudo Pelta";"Щит пельта";"Pelta shield";"Pelta pajzs";"펠타 방패";"Щит пельта";"Pelta shield";"新\t月\t輕\t盾";"Pelta shield";"Khiên Pelta";;
"attachables/football_tank_cup";"Best striker 2023";"Meilleur buteur 2023";"Capocannoniere 2023";"Bester Stürmer 2023";"Mejor delantero 2023";"Лучший футболист 2023";"Najlepszy napastnik 2023";"Nejlepší střelec 2023";"Yılın forveti 2023";"最\t佳\t前\t锋 2023";"ベストストライカー\t2023";"Melhor atacante 2023";"Найкращий футболіст 2023";"Best striker 2023";"2023 legjobb csatára";"2023년 최고의 공격수";"Лучший футболист 2023";"Best striker 2023";"最\t佳\t前\t鋒 2023";"Best striker 2023";"Siêu tiền đạo 2023";;
"attachables/atrl_light_west_launcher";"Grenade launcher";"Lance-grenades";"Lanciagranate";"Granatwerfer";"Lanzagranadas";"Гранатомёт";"Granatnik";"Granátomet";"Bombaatar";"火\t箭\t发\t射\t器";"グレネードランチャー";"Lança-granadas";"Гранатомет";"Grenade launcher";"Grenade launcher";"유탄 발사기";"Гранатомёт";"Grenade launcher";"榴\t彈\t發\t射\t器";"Grenade launcher";"Súng phóng lựu";;
"attachables/mg_8mm";"8-mm machine gun";"Mitrailleuse de 8 mm";"Mitragliatrice da 8 mm";"8 mm Maschinengewehr";"Ametralladora de 8 mm";"8-мм пулемёт";"Karabin maszynowy kal. 8 mm";"8 mm kulomet";"8-mm makineli tüfek";"8 毫\t米\t机\t枪";"8\tミリ\t機関銃";"Metralhadora 8 mm";"8-мм кулемет";"8-mm machine gun";"8-mm machine gun";"8 mm 기관총";"8-мм пулемёт";"8-mm machine gun";"8 毫\t米\t機\t槍";"8-mm machine gun";"Súng máy nòng 8-mm";;
"attachables/decor_black_quadrocopter";"Quadcopter";"Quadcoptère";"Quadcopter";"Quadcopter";"Quadcóptero";"Квадрокоптер";"Czterowirnikowiec";"Kvadkoptéra";"Quadcopter";"四\t轴\t无\t人\t机 (灯\t光)";"クワッドコプター";"Quadricóptero";"Квадрокоптер";"Quadcopter";"Quadcopter";"쿼드콥터";"Квадрокоптер";"Quadcopter";"四\t軸\t無\t人\t機";"Quadcopter";"Máy bay không người lái 4 cánh




";;
"attachables/exs_pilot_helmet";"Tactical helmet";"Casque tactique";"Elmetto tattico";"Taktischer Helm";"Casco táctico";"Тактический шлем";"Hełm taktyczny";"Taktická helma";"Taktik Miğfer";"战\t术\t头\t盔";"タクティカルヘルメット";"Capacete tático";"Тактичний шолом";"Tactical helmet";"Tactical helmet";"전술 헬멧";"Тактический шлем";"Tactical helmet";"戰\t術\t頭\t盔";"Tactical helmet";"Mũ chiến thuật";;
"attachables/decor_shako";"Shako";"Shako";"Shako";"Tschako";"Shako";"Кивер";"Czako";"Shako";"Shako";"高\t筒\t军\t帽";"シャコー\t帽";"Barretina";"Ківер";"Shako";"Shako";"샤코";"Кивер";"Shako";"高\t筒\t軍\t帽";"Shako";"Shako";;
"attachables/decor_cavalryman_statue";"Horseman statue";"Statue de cavalier";"Statua Cavaliere";"Reiterstandbild";"Estatua de jinete";"Статуя всадника";"Posążek jeźdźca";"Socha jezdce";"Atlı heykeli";"骑\t兵\t雕\t像";"騎兵象";"Estátua do Cavaleiro";"Статуя вершника";"Horseman statue";"Horseman statue";"기병 동상";"Статуя всадника";"Horseman statue";"騎\t兵\t雕\t像";"Horseman statue";"Tượng Nhân mã";;
"attachables/decor_lewis_gun";"Lewis gun";"Fusil-mitrailleur Lewis";"Fucile Lewis";"Lewis-Maschinengewehr";"Ametralladora Lewis";"Пулемёт Льюиса";"Karabin maszynowy Lewis";"kulomet Lewis";"Lewis gun";"刘\t易\t斯\t机\t枪";"ルイス\t軽機関銃";"Metralhadora Lewis";"Кулемет Льюїса";"Lewis gun";"Lewis gun";"루이스 경기관총";"Пулемёт Льюиса";"Lewis gun";"路\t易\t士\t機\t槍";"Lewis gun";"Súng Lewis";;
"attachables/pm_38";"120-PM-38";"120-PM-38";"120-PM-38";"120-PM-38";"120-PM-38";"ПМ-38";"120-PM-38";"120-PM-38";"120-PM-38";"120-PM-38";"120mm\t迫撃砲\tPM-38";"120-PM-38";"ПМ-38";"120-PM-38";"120-PM-38";"120-PM-38";"ПМ-38";"120-PM-38";"120-PM-38";"120-PM-38";"120-PM-38";;
"attachables/mg_maxim_tokarev";"Maxim–Tokarev machine gun";"Mitrailleuse Maxim-Tokarev";"Mitragliatrice Maxim–Tokarev";"Maxim–Tokarev Maschinengewehr";"Ametralladora Maxim-Tokarev";"Пулемёт Максима-Токарева";"Karabin maszynowy Maxim-Tokariew";"Maxim–Tokarev kulomet";"Maxim–Tokarev makineli tüfek";"马\t克\t沁\t-\t托\t卡\t列\t夫\t机\t枪";"マキシム・トカレフ\t機関銃";"Metralhadora Maxim-Tokarev";"Кулемет Максима-Токарьова";"Maxim–Tokarev machine gun";"Maxim–Tokarev machine gun";"맥심 - 토카레프 기관총";"Пулемёт Максима-Токарева";"Maxim–Tokarev machine gun";"馬\t克\t沁\t-\t托\t卡\t列\t夫\t輕\t機\t槍";"Maxim–Tokarev machine gun";"Súng máy Maxim-Tokarev";;
"attachables/sterling";"Patchett Machine Carbine";"Fusil-mitrailleur Patchett";"Carabina Patchett";"Patchett Maschinenkarabiner";"Carabina Patchett Machine";"Пистолет-пулемёт Пэтчетта";"Pistolet maszynowy Patchett";"Patchett Machine karabina";"Patchett Makineli Tüfek";"帕\t特\t切\t冲\t锋\t枪";"パチェット・マシンカービン";"Carabina Patchett";"Пістолет-кулемет Петчетта";"Patchett Machine Carbine";"Patchett Machine Carbine";"패칫 기관단총";"Пистолет-пулемёт Пэтчетта";"Patchett Machine Carbine";"帕\t特\t切\t衝\t鋒\t槍";"Patchett Machine Carbine";"Súng Carbine Patchett";;
"attachables/us_browning_m1918";"M1918A2";"M1918A2";"M1918A2";"M1918A2";"M1918A2";"M1918A2";"M1918A2";"M1918A2";"M1918A2";"M1918A2";"M1918A2";"M1918A2";"M1918A2";"M1918A2";"M1918A2";"M1918A2";"M1918A2";"M1918A2";"M1918A2";"M1918A2";"M1918A2";;
"attachables/decor_dakimakura_anime_usa";"Stars and Stripes Sweetie dakimakura";"Dakimakura Chérie à la Bannière Étoilée";"Dakimura Bellezza a Stelle e Striscie";"Stars and Stripes Sweetie Dakimakura";"Dakimura Dulzura de Estrellas y Rayas";"Дакимакура ""Звездно-полосатая милашка""";"Dakimakura ""Stars and Stripes Sweetie""";"Sladké hvězdy a pruhy dakimakura";"Yıldızlı ve Çizgili Ponçik dakimakura";"星\t条\t甜\t心\t等\t身\t抱\t枕";"マザーランド・メイデン\t抱き\t枕";"Estrelas e Listras Sweetie Dakimakura";"Дакімакура ""Американська няшка""";"Stars and Stripes Sweetie dakimakura";"Stars and Stripes Sweetie dakimakura";"""나루미"" 다키마쿠라";"Дакимакура ""Звездно-полосатая милашка""";"Dakimakura ""Frumoasa cu stele și dungi""";"星\t條\t甜\t心\t等\t身\t抱\t枕";"Stars and Stripes Sweetie dakimakura";"Gối ôm Stars and Stripes Sweetie";;
"attachables/decor_dakimakura_anime_ussr";"Motherland Maiden dakimakura";"Dakimakura Jeune fille de la Mère Patrie";"Dakimura Ragazza della Madre Patria";"Motherland Maiden Dakimakura";"Dakimura Doncella de la Patria";"Дакимакура ""Родина-обниматушка""";"Dakimakura ""Matczyźniana Panienka""";"Dívka vlasti dakimakura";"Anavatan Bakire dakimakura";"祖\t国\t少\t女\t等\t身\t抱\t枕";"マザーランド・メイデン\t抱き\t枕";"Donzela da Pátria Dakimakura";"Дакімакура ""Патріотка-обіймашка""";"Motherland Maiden dakimakura";"Motherland Maiden dakimakura";"""린"" 다키마쿠라";"Дакимакура ""Родина-обниматушка""";"Dakimakura ""Fecioara patriotă""";"祖\t國\t少\t女\t等\t身\t抱\t枕";"Motherland Maiden dakimakura";"Gối ôm Motherland Maiden";;
"attachables/mg_vickers";"Vickers machine gun";"Mitrailleuse Vickers";"Mitragliatrice Vickers";"Vickers Maschinengewehr";"Ametralladora Vickers";"Пулемёт Виккерс";"Karabin maszynowy Vickers";"Vickers kulomet";"Vickers makineli tüfek";"维\t克\t斯\t机\t枪";"ヴィッカース\t重機関銃";"Metralhadora Vickers";"Кулемет Vickers";"Vickers machine gun";"Vickers machine gun";"빅커스 기관총";"Пулемёт Виккерс";"Vickers machine gun";"維\t克\t斯\t機\t槍";"Vickers machine gun";"Súng máy Vickers";;
"attachables/decor_puzzle_lock";"Door lock";"Verrou";"Serratura";"Türschloss";"Cerradura de puerta";"Дверной замок";"Zamek do drzwi";"Zámek dveří";"Kapı kilidi";"密\t码\t锁";"ドアロック";"Fechadura da porta";"Дверний замок";"Brava";"Ajtózár";"도어락";"Дзвярны замок";"Încuietoarea ușii";"密\t碼\t鎖";"Door lock";"Khóa cửa";;
"attachables/decor_shved";"Swede axe";"Hache suédoise";"Ascia Svedese";"Schwedenaxt";"Hacha sueca";"Топор Швед";"Siekiera ""Szwed""";"Švédská sekera";"İsveç Baltası";"瑞\t典\t消\t人\t斧";"スウェーデンの\t斧";"Machado Sueco";"Шведська сокира";"Švedska sekira";"Svéd fejsze";"스웨덴 도끼";"Сякера Швед";"Topor suedez";"瑞\t典\t消\t人\t斧";"Swede axe";"Rìu swede";;
"attachables/decor_bear_head";"The Fury of the Bear";"La fureur de l'ours";"La Furia dell'Orso";"Der Zorn des Bären";"La Furia del Oso";"Ярость медведя";"Furia Niedźwiedzia";"Medvědí zuřivost";"Ayının Öfkesi";"巨\t熊\t之\t怒";"熊の\t怒り";"A Fúria do Urso";"Лють ведмедя";"Bes medveda";"A Medve Haragja";"불곰의 분노";"Лютасць мядзведзя";"Furia ursului";"巨\t熊\t之\t怒";"The Fury of the Bear";"Cơn thịnh nộ của gấu";;
"attachables/decor_eagle_head";"Eagle of Valor";"Aigle de la valeur";"Aquila al Valore";"Adler der Tapferkeit";"Águila del Valor";"Символ доблести";"Orzeł Męstwa";"Orel udatnosti";"Cesaret Kartalı";"义\t勇\t雄\t鹰";"勇敢な\t鷹";"Águia do Valor";"Символ доблесті";"Simbol hrabrosti";"Bátor Sas";"용맹의 독수리";"Сімвал доблесці";"Vulturul vitejiei";"義\t勇\t雄\t鷹";"Eagle of Valor";"Đại bàng gan dạ";;
"attachables/decor_bagpack";"Raid Backpack";"Sac à dos de raid";"Zainetto tattico";"Kampfrucksack";"Mochila de Asalto";"Рейдовый рюкзак";"Plecak szturmowy";"Raid batoh";"Baskın Çantası";"突\t袭\t背\t包";"急襲用\tバックパック";"Mochila de Ataque";"Баул";"Raid Backpack";"Raid Backpack";"군장";"Рейдовый рюкзак";"Raid Backpack";"突\t襲\t背\t包";"Raid Backpack";"Ba lô đột kích";;
"attachables/decor_themis_drone";"Crawler-type drone";"Drone de type chenillé";"Drone cingolato";"Laufender Drohnen Typ";"Dron oruga";"Гусеничный дрон";"Dron typu Crawler";"dron typu Crawler";"İnsansız Kara Aracı";"履\t带\t式\t战\t斗\t机\t器\t人";"クロウラー\t式\tドローン";"Drone Rastreador";"Гусеничний дрон";"Crawler-type drone";"Crawler-type drone";"크롤러형 드론";"Гусеничный дрон";"Crawler-type drone";"履\t帶\t式\t戰\t鬥\t機\t器\t人";"Crawler-type drone";"Drone bò";;
"attachables/cn_qjy_88";"Easel machine gun (China)";"Mitrailleuse à trépied (Chine)";"Mitragliatrice Easel (Cina)";"QJY-88 Maschinengewehr (China)";"Ametralladora de caballete (China)";"Станковый пулемёт (Китай)";"Karabin maszynowy Easel (Chiny)";"Easel kulomet (Čína)";"Ayaklı makineli tüfek (Çin)";"88 式\t通\t用\t机\t枪";"イーゼル\t機関銃（中国）";"Metralhadora de Cavalete (China)";"Легкий кулемет (Китай)";"Easel machine gun (China)";"Easel machine gun (China)";"이젤 기관총 (중국)";"Станковый пулемёт (Китай)";"Easel machine gun (China)";"88 式\t通\t用\t機\t槍";"Easel machine gun (China)";"Súng máy Easel (Trung Quốc)";;
"attachables/decor_bmx";"BMX";"BMX";"BMX";"BMX";"BMX";"BMX";"BMX";"BMX";"BMX";"BMX 山\t地\t车";"BMX";"BMX";"BMX";"BMX";"BMX";"BMX";"BMX";"BMX";"BMX";"BMX";"Xe đạp BMX";;
"attachables/jet_ski";"Jet ski";"Jet-ski";"Moto d'acqua";"Jet Ski";"Moto acuática";"Гидроцикл";"Skuter wodny";"vodní skútr";"Jet ski";"摩\t托\t艇";"水上\tオートバイ";"Jet ski";"Водний мотоцикл";"Jet ski";"Jet ski";"제트 스키";"Гидроцикл";"Jet ski";"水\t上\t摩\t托\t車";"Jet ski";"Xe trượt tuyết";;
"attachables/type98_shin_gunto_seven";"Seven Samurai";"Sept samouraïs";"Sette Samurai";"Sieben Samurai";"Siete Samurais";"""1938 (Type 98) Officer Gendaito""";"Siedmiu Samurajów";"Sedm samurajů";"Seven Samurai";"七\t武\t士";"七人の\t侍";"Sete Samurais";"Сім Самураїв";"Seven Samurai";"1938 (Type 98) Tiszti Gendaito";"세븐 사무라이";"""1938 (Type 98) Officer Gendaito""";"Seven Samurai";"七\t武\t士";"Seven Samurai";"Bảy samurai";;
"attachables/decor_molotov_box";"Molotov cocktail";"Cocktail Molotov";"Bomba Molotov";"Molotov Cocktail";"Cóctel molotov";"Коктейль Молотова";"Koktajl Mołotowa";"Molotovův koktejl";"Molotof Kokteyli";"燃\t烧\t瓶";"モロトフカクテル";"Coquetel Molotov";"Коктейль Молотова";"Molotov cocktail";"Molotov koktél";"화염병";"Коктейль Молотова";"Molotov cocktail";"莫\t洛\t托\t夫\t雞\t尾\t酒";"Molotov cocktail";"Bom xăng";;
"attachables/helmet_phv57e";"Tank helmet with NVG";"Casque de tankiste avec PNV-57E";"Elmetto da carrista con NVG";"Panzerhaube mit Nachtsichtgerät";"Casco de tanque con NVG";"Шлемофон с ПНВ";"Hełm czołgisty z noktowizorem";"Tanková helma s noktovizí";"Gece Görüşlü Tankçı Miğferi";"苏\t联\t坦\t克\t帽\t（附 PNV-57 夜\t视\t仪）";"暗視\tスコープ\t付き\t戦車兵用\tヘルメット";"Capacete tanque com DVN";"Танковий шолом із ПНБ";"Tank helmet with NVG";"Tank helmet with NVG";"NVG와 전차병 헬멧";"Шлемофон с ПНВ";"Tank helmet with NVG";"蘇\t聯\t坦\t克\t帽\t（附 PNV-57 夜\t視\t儀）";"Tank helmet with NVG";"Mũ bảo hiểm kíp lái tăng với kính nhìn đêm";;
"attachables/rm_40";"RM-40";"RM-40";"RM-40";"RM-40";"RM-40";"РМ-40";"RM-40";"RM-40";"RM-40";"RM-40 迫\t击\t炮";"RM-40";"RM-40";"РМ-40";"RM-40";"RM-40";"RM-40";"РМ-40";"RM-40";"RM-40";"RM-40";"RM-40";;
"attachables/mk1a_flight_helmet";"Mk.1A";"Mk.1A";"Mk.1A";"Mk.1A Flughelm";"Mk.1A";"Марк 1А";"Hełm lotniczy Mk. 1A";"Mk.1A";"Mk.1A";"Mk.1A 头\t盔";"Mk.1A";"Mk.1A";"Mk.1A";"Mk.1A";"Mk.1A";"Mk.1A";"Марк 1А";"Mk.1A";"Mk.1A";"Mk.1A";"Mk.1A";;
"attachables/beretta_ar_70_90";"Assault rifle (Italy)";"Beretta AR 70/90";"Beretta SC-70/90";"Sturmgewehr (Italien)";"Fusil de asalto (Italia)";"Штурмовая винтовка (Италия)";"Karabin szturmowy (Włochy)";"Útočná puška (Itálie)";"Taarruz tüfeği (İtalya)";"意\t大\t利\t突\t击\t步\t枪";"イタリア\t製\tライフル";"Fuzil de assalto (Itália)";"Штурмова гвинтівка (Італія)";"Assault rifle (Italy)";"Assault rifle (Italy)";"돌격 소총 (이탈리아)";"Штурмовая винтовка (Италия)";"Assault rifle (Italy)";"貝\t瑞\t塔 AR70/90";"Assault rifle (Italy)";"Súng trường tấn công (Ý)";;
"attachables/waka_boat";"Waka";"Waka";"Waka";"Waka-Kanu";"Waka";"Вака";"Łódź Waka";"Waka";"Waka";"独\t木\t舟";"ワカ";"Waka";"Waka";"Waka";"Waka";"와카";"Вака";"Waka";"獨\t木\t舟";"Waka";"Thuyền waka";;
"attachables/decor_lifeboat_carley_float";"Carley float";"Radeau de sauvetage";"Galleggiante Carley";"Carley Rettungsfloß";"Flotador Carley";"Спасательный плот";"Spławik Carley";"Carley plovák";"Carley Botu";"卡\t利\t救\t生\t艇";"カーリーフロート";"Bote Carley";"Поплавок Карлі";"Carley float";"Carley float";"구명정";"Спасательный плот";"Carley float";"卡\t利\t救\t生\t艇";"Carley float";"Phao Carley";;
"attachables/decor_emergency_buoy";"Emergency buoy";"Bouée d'urgence";"Boa d'emergenza";"Notfall-Boje";"Boya de emergencia";"Аварийный буй";"Boja ratunkowa";"Nouzová bóje";"Acil Durum Şamandırası";"应\t急\t浮\t标";"救命\tブイ";"Boia de emergência";"Аварійний буй";"Emergency buoy";"Emergency buoy";"비상 부표";"Аварийный буй";"Emergency buoy";"緊\t急\t浮\t標";"Emergency buoy";"Phao cấp cứu";;
"attachables/colt_browning_m1895";"Colt–Browning M1895";"Colt-Browning M1895";"Colt–Browning M1895";"Colt–Browning M1895";"Colt–Browning M1895";"Colt–Browning M1895";"Colt–Browning M1895";"Colt–Browning M1895";"Colt–Browning M1895";"柯\t尔\t特\t-\t勃\t朗\t宁 M1895";"コルト・ブローニング M1895";"Colt-Browning M1895";"Colt–Browning M1895";"Colt–Browning M1895";"Colt–Browning M1895";"콜트-브라우닝 M1895";"Colt–Browning M1895";"Colt–Browning M1895";"柯\t爾\t特\t-\t白\t朗\t寧 M1895";"Colt–Browning M1895";"Colt–Browning M1895";;
"attachables/death_valley_sign";"""Death valley"" sign";"Panneau ""Vallée de la mort""";"Segnale ""Death Valley""";"""Death Valley"" Schild";"Cartel ""Valle de la Muerte""";"Знак ""Долина смерти""";"Znak ""Dolina Śmierci""";"značka ""Údolí smrti""";"""Ölüm Vadisi"" işareti";"“死\t亡\t之\t谷”\t标\t语\t牌";"標識「死の\t渓谷」";"Placa ""vale da morte""";"Знак «Долина смерті»";"""Death valley"" sign";"""Death valley"" sign";"""데스 밸리"" 표지판";"Знак ""Долина смерти""";"""Death valley"" sign";"""\t死\t亡\t之\t谷\t""\t標\t語\t牌";"""Death valley"" sign";"Biển ""Death valley""";;
"attachables/helmet_nvg";"Modern helmet with NVG";"Casque modern avec JVN";"Elmetto moderno con Infrarosso";"Moderner Helm mit Nachtsichtgerät";"Casco moderno con NVG";"Современный шлем с ПНВ";"Nowoczesny hełm z noktowizją";"Moderní přilba s noktovizí";"Gece Görüşlü Modern Miğfer";"战\t术\t头\t盔 (附\t全\t景\t夜\t视\t仪)";"NVG\t付き\tモダンヘルメット";"Capacete moderno com DVN";"Сучасний шолом із ПНБ";"Modern helmet with NVG";"Modern helmet with NVG";"NVG 가 탑재된 현대식 헬멧";"Современный шлем с ПНВ";"Modern helmet with NVG";"戰\t術\t頭\t盔 (附\t全\t景\t夜\t視\t鏡)";"Modern helmet with NVG";"Mũ bảo hiểm hiện đại với kính nhìn đêm";;
"attachables/decor_club_night_battles";"""Club Night Battles"" neon sign";"Panneau néon ""Club Batailles Nocturnes""";"Insegna ""Club Battaglie Notturne""";"Neonschild ""Club Night Battles""";"Cartel de neón ""Club Batallas Nocturnas""";"Неоновая вывеска ""Клуб Ночные Бои""";"Znak neonowy ""Klub Bitew Nocnych""";"neonový nápis ""Klubové noční bitvy""";"""Gece Savaşı Kulübü"" neon işaret";"“夜\t战\t俱\t乐\t部”\t霓\t虹\t灯\t牌";"ネオン\t標識「クラブナイトバトル」";"Sinal de néon ""Club Night Battles""";"Неонова вивіска ""Клубні нічні битви""";"""Club Night Battles"" neon sign";"""Club Night Battles"" neon sign";"""Club Night Battles"" 네온사인";"Неоновая вывеска ""Клуб Ночные Бои""";"""Club Night Battles"" neon sign";"""\t夜\t戰\t俱\t樂\t部\t""\t霓\t虹\t燈\t牌";"""Club Night Battles"" neon sign";"Biển hiệu neon ""Club Night Battles""";;
"attachables/decor_christmas_board";"New Year's sign";"Panneau du Nouvel An";"Segnale di Capodanno";"Neujahrs-Schild";"Señal de Año Nuevo";"Новогодняя вывеска";"Znak noworoczny";"Novoroční značka";"Yeni Yıl İşareti";"新\t年\t灯\t牌";"新年の\t看板";"Sinal de Ano Novo";"Новорічний знак";"New Year's sign";"New Year's sign";"신년 표지판";"Новогодняя вывеска";"New Year's sign";"新\t年\t燈\t牌";"New Year's sign";"Biển Năm mới";;
"attachables/decor_gingerbread_house";"Gingerbread house";"Maison en pain d'épices";"Casetta di Pan di Zenzero";"Lebkuchenhaus";"Casa de Pan de Jengibre";"Пряничный домик";"Domek z piernika";"Perníková chaloupka";"Zencefilli Çörek Evi";"姜\t饼\t屋";"ヘクセンハウス";"Casa Gingerbread";"Пряниковий будиночок";"Gingerbread house";"Gingerbread house";"진저브레드 하우스";"Пряничный домик";"Gingerbread house";"薑\t餅\t屋";"Gingerbread house";"Nhà bánh gừng";;
"attachables/decor_ratrack";"Ratrack";"Dameuse";"Gatto delle nevi";"Pistenraupe";"Ratrack";"Ратрак";"Ratrak";"Rolba";"Ratrack";"履\t带\t式\t雪\t地\t车";"雪上車";"Ratrack";"Ратрак";"Ratrack";"Ratrack";"래트랙";"Ратрак";"Ratrack";"履\t帶\t式\t雪\t地\t車";"Ratrack";"Xe xúc tuyết";;
"attachables/decor_snowbike";"Snowbike";"Motoneige";"Snowbike";"Snow Bike";"Moto de nieve";"Сноубайк";"Nartosanki";"Sněžný skútr";"Kar motoru";"雪\t地\t摩\t托";"スノーバイク";"Mota de Neve";"Сноубайк";"Snowbike";"Snowbike";"스노우바이크";"Сноубайк";"Snowbike";"雪\t地\t摩\t托\t車";"Snowbike";"Xe máy tuyết";;
"attachables/road_sign_closed";"Avalanche danger";"Danger avalanche";"Pericolo Valanghe";"Lawinengefahr";"Peligro de avalancha";"Опасность лавин";"Zagrożenie lawinowe";"Lavinové nebezpečí";"Çığ Tehlikesi";"当\t心\t雪\t崩！";"雪崩注意";"Aviso avalanche";"Лавинна небезпека";"Avalanche danger";"Avalanche danger";"산사태 경고";"Опасность лавин";"Avalanche danger";"當\t心\t雪\t崩!";"Avalanche danger";"Nguy cơ lở tuyết";;
"attachables/road_sign_north_pole";"North Pole";"Pôle Nord";"Polo Nord";"Nordpol";"Polo Norte";"Северный полюс";"Biegun Północny";"Severní pól";"Kuzey Kutbu";"北\t极\t点";"北極点";"Pólo Norte";"Північний полюс";"North Pole";"North Pole";"북극점";"Северный полюс";"North Pole";"北\t極\t點";"North Pole";"Bắc Cực";;
"attachables/fn_scar";"Modern assault rifle (USA)";"SCAR-L (États-Unis)";"Fucile d'assalto SCAR (USA)";"Modernes Sturmgewehr (USA)";"Rifle de asalto moderno (EEUU)";"Современная штурмовая винтовка (США)";"Nowoczesny karabinek szturmowy (USA)";"Moderní útočná puška (USA)";"Modern saldırı tüfeği (ABD)";"美\t国\t现\t代\t突\t击\t步\t枪";"現代的\tアサルトライフル（アメリカ）";"Espingarda de assalto moderna (EUA)";"Сучасна штурмова гвинтівка (США)";"Modern assault rifle (USA)";"Modern assault rifle (USA)";"현대 돌격 소총 (미국)";"Современная штурмовая винтовка (США)";"Modern assault rifle (USA)";"美\t國\t現\t代\t突\t擊\t步\t槍 (Mk16)";"Modern assault rifle (USA)";"Súng trường hiện đại (Mỹ)";;
"attachables/mk19_grenade_launcher";"Automatic grenade launcher (USA)";"Lance-grenades automatique Mk 19 (États-Unis)";"Lancia granate automatico (USA)";"Automatischer Granatwerfer (USA)";"Lanzagranadas automático (EEUU)";"Автоматический гранатомёт (США)";"Granatnik automatyczny (USA)";"Automatický granátomet (USA)";"Otomatik bombaatar (ABD)";"美\t国\t自\t动\t榴\t弹\t发\t射\t器\t（Mk 19）";"自動擲弾銃（アメリカ）";"Lançador de granadas automático (EUA)";"Автоматичний гранатомет (США)";"Automatic grenade launcher (USA)";"Automatic grenade launcher (USA)";"자동유탄발사기 (미국)";"Автоматический гранатомёт (США)";"Automatic grenade launcher (USA)";"美\t國\t自\t動\t榴\t彈\t發\t射\t器\t（Mk19）";"Automatic grenade launcher (USA)";"Súng phóng lựu tự động (Mỹ)";;
"attachables/decor_fuel_pallet";"Fuel Blivet";"Réservoir souple de carburant";"Sacca di Carburante";"Treibstoff-Falttank";"Paleta de Combustible";"Десантируемая бочка";"Pęcherz Paliwowy";"Vak s palivem";"Yakıt Torbası";"软\t体\t油\t箱";"燃料\tブラダー";"Fuel Blivet";"Паливні камери";"Fuel Blivet";"Fuel Blivet";"연료 주머니";"Десантируемая бочка";"Fuel Blivet";"軟\t體\t油\t箱";"Fuel Blivet";"Túi nhiên liệu";;
"attachables/maxim_gun_blockade";"Maxim machine gun (Leningrad)";"Mitrailleuse Maxim (Léningrad)";"Mitragliatrice Maxim (Leningrado)";"Maxim Maschinengewehr (Leningrad)";"Ametralladora Maxim (Leningrado)";"Пулемёт Максима (Ленинградский)";"Karabin maszynowy Maksima (Leningrad)";"Kulomet Maxim (Leningrad)";"Maxim makineli tüfek (Leningrad)";"马\t克\t沁\t机\t枪\t（列\t宁\t格\t勒）";"マキシム\t機関銃（レニングラード）";"Metralhadora Maxim (Leningrado)";"Кулемет Максима (Ленінград)";"Maxim machine gun (Leningrad)";"Maxim machine gun (Leningrad)";"맥심 경기관총 (레닌그라드)";"Пулемёт Максима (Ленинградский)";"Maxim machine gun (Leningrad)";"馬\t克\t沁\t機\t槍\t（列\t寧\t格\t勒）";"Maxim machine gun (Leningrad)";"Súng máy Maxim (Leningrad)";;
"attachables/decor_new_year_dragon";"Green Dragon";"Dragon vert";"Drago Verde";"Grüner Drache";"Dragon Verde";"Зелёный дракон";"Zielony Smok";"Zelený drak";"Green Dragon";"翠\t玉\t苍\t龙";"グリーンドラゴン";"Dragão Verde";"Зелений дракон";"Green Dragon";"Green Dragon";"녹룡";"Зелёный дракон";"Green Dragon";"翠\t玉\t蒼\t龍";"Green Dragon";"Rồng xanh";;
